Company Name,Website,City,Segment,What They Make,Revenue Band,Decision Maker,E1 Producer,E2 Accessible,C3 Differentiation,C4 Decision Maker,C5 Growing Sector,C6 Growth Signals,C7 Systems Maturity,C8 Leadership Succession,Federer Score,Band,Verdict,Personalization Hook,Sources
Axon Instruments Pvt. Ltd.	Industrial Sensors & Instrumentation
AceMicromatic Group	Precision Engineering / Industrial Automation
PathShodh Healthcare	Medical Devices
Bigtec Labs	Medical Diagnostics
Achira Labs	Medical Diagnostics
Tonbo Imaging	Industrial Sensors / Imaging
Skanray Technologies	Medical Devices
Mistral Solutions	Industrial Electronics
Perfint Healthcare	Medical Devices
Emmvee	Specialty Manufacturing (Solar)
Kaynes Technology	Electronics Manufacturing
Accord Medical Products	Medical Devices
Sattva MedTech	Medical Devices
Agappe Diagnostics (Bengaluru operations)	Diagnostics
Innaumation Medical Devices	Medical Devices
